ID_MAN_CO;REGISTER_NUMBER;REGISTER_TITLE;AIFMD_CLASSIFICATION;INVESTOR_COUNTRY;INVESTOR_TAX_RESIDENCE;FA_NUMBER;FUND_NAME;FUND_CCY;SHARE_CLASS_CODE;SHARE_CLASS_CCY;ISIN_CODE;QUANTITY;PRICE_PER_SHARE;AMOUNT_SC_CCY;COURS_CHANGE;CLASSIF_TA_RKS;Reporting Period
343;16464;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;337;126.061474;42482.716732;.90405;BANK;31/03/2021
343;903;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;11379;126.061474;1434453.512434;.90405;BANK;31/03/2021
343;4844;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;2610;126.061474;329020.447091;.90405;BANK;31/03/2021
343;76;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;6265;126.061474;789775.134493;.90405;BANK;31/03/2021
343;7030;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;184.19;126.061474;23219.262893;.90405;BANK;31/03/2021
343;1165;REGULATED FINANCIAL INSTITUTION;Client professionnel;SWITZERLAND;SWITZERLAND;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;270;126.061474;34036.597975;.90405;BANK;31/03/2021
343;1769;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IC;CHF;LU1787061362;88167.73;126.061474;11114554.00139;.90405;BANK;31/03/2021
343;8908;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;EUR;LU1787059465;80;125.81587;10065.269585;1;BANK;31/03/2021
343;8908;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;7820;126.205293;986925.392787;1;BANK;31/03/2021
343;15168;REGULATED FINANCIAL INSTITUTION;Client professionnel;LUXEMBOURG;LUXEMBOURG;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;IE;EUR;LU1787061529;2375;126.205293;299737.571339;1;BANK;31/03/2021
