PUID;ISIN_CODE;BLOOMBERG_TICKER;TELEKURS_CODE;INSTRUMENT_NAME;CLASSIF_1_GRINFIN;CLASSIF_2_ASSETGROUP;CLASSIF_3_ASSET_PICTET_TYPE;CLASSIF_3_SFI_TYPE;ISSUER_CODE;ISSUER_NAME;INSTRUMENT_CCY;INTERNAL_MARKET_CODE;MIC_MARKET_CODE;MARKET_PLACE_NAME;COUNTRY_CODE;COUNTRY_NAME;ECONOMICAL_SECTOR_CODE;ECONOMICAL_SECTOR_NAME;GEOGRAPHICAL_SECTOR_CODE;GEOGRAPHICAL_SECTOR_NAME;MATURITY_DATE;TYPE_STRIKE;STRIKE_VALUE;CONTRACT_SIZE;CONVERSION_RATIO;RATING_SP;RATING_MOODYS;RATING_FITCH;IS_CDS_PROTECTION_BUYER;IS_CDS_PROTECTION_SELLER;YIELD_RATE;MATURITY_RATE;COUPON_RATE;COUPON_FREQUENCY;COUPON_AMOUNT;DURATION;MODIFIED_DURATION;NEXT_COUPON_DATE;SETTLEMENT_TYPE;IMPLIED_VOLATILITY;DELTA;GAMMA;VEGA;OPTION_TYPE;OPTION_STYLE;CALL_VALUE;PUT_VALUE;CALL_DATE;PUT_DATE;CREDIT_SPREAD;EQUITY_DELTA;CS01;DV01;SETTLEMENT_DELAY;SETTLEMENT_DATE;NAV_FREQUENCY;SEDOL_CODE;CUSIP;COTATION_PLACE_CODE;UNDERLYING_ISIN_CODE;UNDERLYING_INSTRUMENT_NAME;Reporting Period
05PIB908440USDLU;US0378331005;AAPL UQ Equity;000908440000;APPLE;eer;share;ord_sh;sfi_atyp_202;13650;APPLE INC;USD;FRA;XFRA;Frankfurter Wertpapierborse;US;U.S.A.;45;COMPUTER HARDWARE & NETWORKING;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2046251;;013;;;31/03/2021
05AIM001N7VUSDLU;US92826C8394;V UN Equity;003826452000;VISA 'A';eer;share;ord_sh;sfi_atyp_202;991711;VISA INC;USD;FWTAT;;;US;U.S.A.;96;MISCELLANEOUS SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B2PZN04;;065;;;31/03/2021
05AIM004NMZUSDLU;US1729674242;C UN Equity;012915350000;CITIGROUP;eer;share;ord_sh;sfi_atyp_202;13387;CITIGROUP INC;USD;FWTAT;;;US;U.S.A.;81;BANK & OTHER CREDIT INSTITUTIONS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2297907;;065;;;31/03/2021
05AIM005OI4USDLU;US30303M1027;FB UQ Equity;014917609000;FACEBOOK 'A';eer;share;ord_sh;sfi_atyp_202;173483;FACEBOOK;USD;SWX;XSWX;SIX Swiss Exchange;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BSJC7H8;;067;;;31/03/2021
05AIM008RQRUSDLU;US02079K3059;GOOGL UQ Equity;029798540000;ALPHABET 'A';eer;share;ord_sh;sfi_atyp_202;182972;ALPHABET;USD;FRA;XFRA;Frankfurter Wertpapierborse;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BYVY8G0;;067;;;31/03/2021
05PIB492019USDLU;US03662Q1058;ANSS UQ Equity;000492019000;ANSYS;eer;share;ord_sh;sfi_atyp_202;997130;ANSYS;USD;FWTAT;;;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2045623;;067;;;31/03/2021
05PIB645156USDLU;US0231351067;AMZN UQ Equity;000645156000;AMAZON.COM;eer;share;ord_sh;sfi_atyp_202;10558;AMAZON.COM;USD;FRA;XFRA;Frankfurter Wertpapierborse;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5258075;;044;;;31/03/2021
05PIB978121USDLU;US8725401090;TJX UN Equity;000978121000;TJX;eer;share;ord_sh;sfi_atyp_202;7902;TJX COS INC;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2989301;;065;;;31/03/2021
05PIB984192USDLU;US2546871060;DIS UN Equity;000984192000;WALT DISNEY;eer;share;ord_sh;sfi_atyp_202;194235;THE WALT DISNEY CO;USD;FWTAT;;;US;U.S.A.;73;GRAPHICS PUBLISHING & PRINTING MEDIA;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2270726;;065;;;31/03/2021
05PIBA64593CHFLU;CH0010645932;GIVN SW Equity;001064593000;GIVAUDAN;eer;share;ord_sh;sfi_atyp_202;3733;GIVAUDAN SA, VERNIER;CHF;SWX;XSWX;SIX Swiss Exchange;CH;SWITZERLAND;35;CHEMICALS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5980613;;004;;;31/03/2021
05PIBC03204CHFLU;CH0012032048;ROG SW Equity;001203204000;ROCHE HOLDING D.RIGHT;ebj;share;div_r_cert;sfi_atyp_204;7742;ROCHE HOLDING LTD;CHF;SWX;XSWX;SIX Swiss Exchange;CH;SWITZERLAND;66;PHARMACEUTICALS AND COSMETICS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BH4HMQ5;;004;;;31/03/2021
05PIBC50633EURLU;IT0003128367;ENEL IM Equity;001250633000;ENEL;eer;share;ord_sh;sfi_atyp_202;9646;ENEL SPA;EUR;MCI;MTAA;Italie Mercato Continuo;IT;ITALY;92;ENERGY & WATER SUPPLY;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7144569;;046;;;31/03/2021
05PIB923227USDLU;US2310211063;CMI UN Equity;000923227000;CUMMINS;eer;share;ord_sh;sfi_atyp_202;13790;CUMMINS;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;48;MACHINERY & APPARELS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2240202;;065;;;31/03/2021
05AIM0040HSEURLU;DE000A1EWWW0;ADS GY Equity;011730015000;ADIDAS NOM.;eer;share;ord_sh;sfi_atyp_202;13160;ADIDAS AG;EUR;ETR;XETR;Xetra Francfort;DE;GERMANY;68;TEXTILE & CLOTHING;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4031976;;044;;;31/03/2021
05PIB099350USDLU;US5184391044;EL UN Equity;000099350000;ESTEE LAUDER COMPANIES 'A';eer;share;ord_sh;sfi_atyp_202;4404;ESTEE LAUDER COMPANIES INC;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2320524;;065;;;31/03/2021
05AIM008D10GBPLU;GB00BVYVFW23;AUTO LN Equity;027293490000;AUTO TRADER GROUP;eer;share;ord_sh;sfi_atyp_202;180604;AUTO TRADER GR;GBP;RMC-P;;;GB;UNITED KINGDOM;96;MISCELLANEOUS SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BVYVFW2;;361;;;31/03/2021
05AIM008F6EUSDLU;US29786A1060;ETSY UQ Equity;027396460000;ETSY;eer;share;ord_sh;sfi_atyp_202;188426;ETSY;USD;RMC-P;;;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BWTN5N1;;067;;;31/03/2021
05PIB293557EURLU;FR0000131906;RNO FP Equity;000293557000;RENAULT;eer;share;ord_sh;sfi_atyp_202;8536;RENAULT SA;EUR;EPA;XPAR;Paris NYSE Euronext;FR;FRANCE;50;VEHICLES;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4712798;;025;;;31/03/2021
05PIB558715EURLU;IE0004927939;KSP ID Equity;000558715000;KINGSPAN GROUP;eer;share;ord_sh;sfi_atyp_202;7774;KINGSPAN GRP;EUR;LON;XLON;London Stock Exchange (LSE);IE;IRELAND;29;BUILDING MATERIALS & BUILDING INDUSTRY;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4491235;;145;;;31/03/2021
05PIB566162USDLU;US74834L1008;DGX UN Equity;000566162000;QUEST DIAGNOSTICS;eer;share;ord_sh;sfi_atyp_202;9731;QUEST DIAGNOSTICS;USD;FWTAT;;;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2702791;;065;;;31/03/2021
05AIM00476VNOKLU;FO0000000179;BAKKA NO Equity;011107971000;BAKKAFROST;eer;share;ord_sh;sfi_atyp_202;172206;BAKKAFROST;NOK;OSL;XOSL;Oslo Stock Exchange;FO;FAEROE ISLANDS;33;AGRICULTURE AND FISHING;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B6632T7;;048;;;31/03/2021
05PIB912551USDLU;US0865161014;BBY UN Equity;000912551000;BEST BUY;eer;share;ord_sh;sfi_atyp_202;13710;BEST BUY;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2094670;;065;;;31/03/2021
05PIB933404USDLU;US94106L1098;WM UN Equity;000933404000;WASTE MANAGEMENT;eer;share;ord_sh;sfi_atyp_202;13222;WASTE MANAGEMENT;USD;FWTAT;;;US;U.S.A.;91;ENVIRONMENTAL SERVICES & RECYCLING;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BYZHH02;;065;;;31/03/2021
05PIB995745USDLU;US92220P1057;VAR UN Equity;000995745000;VARIAN MEDICAL SYSTEMS;eer;share;ord_sh;sfi_atyp_202;976717;VARIAN MEDICAL SYSTEMS INC;USD;FWTAT;;;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2927516;;065;;;31/03/2021
05PIBA78935USDLU;US50540R4092;LH UN Equity;001078935000;LABORATORY CORP AMERICA HOLDINGS;eer;share;ord_sh;sfi_atyp_202;7073;LABORATORY CORP OF AMERICA HOLDINGS;USD;FWTAT;;;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2586122;;065;;;31/03/2021
05PIBA81674DKKLU;DK0010268606;VWS DC Equity;001081674000;VESTAS WIND SYSTEMS;eer;share;ord_sh;sfi_atyp_202;13446;VESTAS WIND SYSTEMS;DKK;CPH;XCSE;Nasdaq OMX Nordic Exchange, Copenhagen, Equities;DK;DENMARK;92;ENERGY & WATER SUPPLY;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5964651;;012;;;31/03/2021
05PIBA98758EURLU;FR0000124141;VIE FP Equity;001098758000;VEOLIA ENVIRONNEMENT;eer;share;ord_sh;sfi_atyp_202;2047;VEOLIA ENVIRONNEMENT SA;EUR;EPA;XPAR;Paris NYSE Euronext;FR;FRANCE;92;ENERGY & WATER SUPPLY;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BRTM6V8;;025;;;31/03/2021
05PIBL14019EURLU;FI0009013296;NESTE FH Equity;002114019000;NESTE;eer;share;ord_sh;sfi_atyp_202;979401;NESTE;EUR;HEL;XHEL;Nasdaq OMX Nordic Exchange, Helsinki, Equities;FI;FINLAND;34;PETROLEUM;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B06YV46;;040;;;31/03/2021
05PIBR86457GBPLU;GB00B1CRLC47;MNDI LN Equity;002686457000;MONDI (GBP);eer;share;ord_sh;sfi_atyp_202;989265;MONDI;GBP;LON;XLON;London Stock Exchange (LSE);GB;UNITED KINGDOM;31;FORESTRY, PAPER & FOREST PRODUCTS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B1CRLC4;;361;;;31/03/2021
05AIM0098MDEURLU;NL0011821392;LIGHT NA Equity;032618429000;SIGNIFY;eer;share;ord_sh;sfi_atyp_202;185316;SIGNIFY NV;EUR;RMC-P;;;NL;NETHERLANDS;41;ELECTRICAL APLLIANCES & COMPONENTS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BYY7VY5;;038;;;31/03/2021
05AIM003AH9USDLU;US8545021011;SWK UN Equity;011121681000;STANLEY BLACK & DECKER;eer;share;ord_sh;sfi_atyp_202;14080;STANLEY BLACK & DECKER INC;USD;FWTAT;;;US;U.S.A.;71;MISC. CONSUMER GOODS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B3Q2FJ4;;065;;;31/03/2021
05PIBQ42581EURLU;NL0000009827;DSM NA Equity;002542581000;KONINKLIJKE DSM;eer;share;ord_sh;sfi_atyp_202;9299;KONINKLIJKE DSM;EUR;EPA;XPAR;Paris NYSE Euronext;NL;NETHERLANDS;35;CHEMICALS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B0HZL93;;038;;;31/03/2021
05AIM0073CZEURLU;NL0010583399;CRBN NA Equity;022597845000;CORBION;eeb;share;ord_sh;sfi_atyp_201;9333;CORBION;EUR;P00099;;;NL;NETHERLANDS;61;FOOD & NO ALCOHOLIC BEVERAGE;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BFRSRR7;;038;;;31/03/2021
05AIM00A4K9SEKLU;SE0009922164;ESSITYB SS Equity;036851944000;ESSITY 'B';eer;share;ord_sh;sfi_atyp_202;186330;ESSITY AB;SEK;RMC-P;;;SE;SWEDEN;66;PHARMACEUTICALS AND COSMETICS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF1K7P7;;053;;;31/03/2021
05PIB509120EURLU;FR0000121972;SU FP Equity;000509120000;SCHNEIDER ELECTRIC;eer;share;ord_sh;sfi_atyp_202;5680;SCHNEIDER ELECTRIC SE;EUR;FWTAT;;;FR;FRANCE;41;ELECTRICAL APLLIANCES & COMPONENTS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4834108;;025;;;31/03/2021
05PIBK28477EURLU;FI0009013403;KNEBV FH Equity;002028477000;KONE OYJ 'B';eer;share;ord_sh;sfi_atyp_202;979640;KONE;EUR;HEL;XHEL;Nasdaq OMX Nordic Exchange, Helsinki, Equities;FI;FINLAND;48;MACHINERY & APPARELS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B09M9D2;;040;;;31/03/2021
05AIM002RZYUSDLU;IE00B4BNMY34;ACN UN Equity;010478724000;ACCENTURE 'A';eer;share;ord_sh;sfi_atyp_202;995825;ACCENTURE;USD;FWTAT;;;IE;IRELAND;96;MISCELLANEOUS SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B4BNMY3;;065;;;31/03/2021
05AIM007992DKKLU;DK0060534915;NOVOB DC Equity;023159222000;NOVO NORDISK 'B';eer;share;ord_sh;sfi_atyp_202;8233;NOVO NORDISK A/S;DKK;B99997;;;DK;DENMARK;66;PHARMACEUTICALS AND COSMETICS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BHWQMV9;;012;;;31/03/2021
05PIB345952EURLU;DE0007164600;SAP GY Equity;000345952000;SAP;eeb;share;ord_sh;sfi_atyp_201;6756;SAP AG;EUR;FRA;XFRA;Frankfurter Wertpapierborse;DE;GERMANY;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4846288;;044;;;31/03/2021
05PIB903472USDLU;US00724F1012;ADBE UQ Equity;000903472000;ADOBE;eer;share;ord_sh;sfi_atyp_202;1549;ADOBE INC;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008154;;067;;;31/03/2021
05PIB903618USDLU;US22160K1051;COST UQ Equity;000903618000;COSTCO WHOLESALE;eer;share;ord_sh;sfi_atyp_202;2623;COSTCO WHOLESALE;USD;FRA;XFRA;Frankfurter Wertpapierborse;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5468487;;067;;;31/03/2021
