ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;INSTRUMENT_ID;ISIN_CODE;TELEKURS_CODE;BLOOMBERG_CODE;ISSUER_CODE;ISSUER_NAME;GRINFIN;ASSET_GROUP;ASSET_PICTET_TYPE;SFI_TYPE;STRIKE;CONTRACT_SIZE;SECURITY_NAME;SECURITY_CCY;COUNTRY_CODE;COUNTRY_NAME;ECONOMIC_SECTOR_CODE;ECONOMIC_SECTOR_NAME;MATURITY_DATE;MKT_CODE;MIC_CODE;RATING_SP;RATING_MOODYS;RATING_FITCH;CUSTODIAN_CODE;CUSTODIAN_NAME;UNDERLYING_INSTR_ID;UNDERLYING_ISIN_CODE;UNDERLYING_TELEKURS_CODE;UNDERLYING_BLOOMBERG_CODE;UNDERLYING_MKT_CODE;UNDERLYING_MIC_CODE;UNDERLYING_GRINFIN;UNDERLYING_ASSET_GROUP;UNDERLYING_ASSET_PICTET_TYPE;UNDERLYING_SFI_TYPE;UNDERLYING_NAME;UNDERLYING_CCY;UNDERLYING_DATE_MATURITY;UNDERLYING_ISSUER;UNDERLYING_ISSUER_NAME;UNDERLYING_COUNTRY_CODE;UNDERLYING_COUNTRY_NAME;UNDERLYING_ECO_SECTOR_CODE;UNDERLYING_ECO_SECTOR_NAME;UNDERLYING_RATING_SP;UNDERLYING_RATING_MOODYS;UNDERLYING_RATING_FITCH;UNDERLYING_PRICE;QUANTITY;MARKET_PRICE;CALCUL_TYPE;MARKET_VALUE;MARKET_VALUE_FUND_CCY;FX_RATE_INV_FUND;FX_RATE_INV_EUR;DATE_VALORISATION;FLAG_FEEDER;ACCRUED_INTEREST;ACCRUED_INTEREST_FUND_CCY;ACCRUED_INTEREST_EUR;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM001N7VUSDLU;US92826C8394;003826452000;V UN Equity;991711;VISA INC;eer;share;ord_sh;sfi_atyp_202;;1;VISA 'A';USD;US;U.S.A.;96;MISCELLANEOUS SERVICES;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;9600;211.73;1;2032608;2032608;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM008RQRUSDLU;US02079K3059;029798540000;GOOGL UQ Equity;182972;ALPHABET;eer;share;ord_sh;sfi_atyp_202;;1;ALPHABET 'A';USD;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;FRA;XFRA;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;1100;2062.52;1;2268772;2268772;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB978121USDLU;US8725401090;000978121000;TJX UN Equity;7902;TJX COS INC;eer;share;ord_sh;sfi_atyp_202;;1;TJX;USD;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;28000;66.15;1;1852200;1852200;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB984192USDLU;US2546871060;000984192000;DIS UN Equity;194235;THE WALT DISNEY CO;eer;share;ord_sh;sfi_atyp_202;;1;WALT DISNEY;USD;US;U.S.A.;73;GRAPHICS PUBLISHING & PRINTING MEDIA;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;11000;184.52;1;2029720;2029720;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBC03204CHFLU;CH0012032048;001203204000;ROG SW Equity;7742;ROCHE HOLDING LTD;ebj;share;div_r_cert;sfi_atyp_204;;;ROCHE HOLDING D.RIGHT;CHF;CH;SWITZERLAND;66;PHARMACEUTICALS AND COSMETICS;;SWX;XSWX;;;;OJT;;;;;;;;;;;;;;;;;;;;;;;;;2600;305.45;1;794170;843829.36;1.06253;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBC50633EURLU;IT0003128367;001250633000;ENEL IM Equity;9646;ENEL SPA;eer;share;ord_sh;sfi_atyp_202;;1;ENEL;EUR;IT;ITALY;92;ENERGY & WATER SUPPLY;;MCI;MTAA;;;;76E;CCC BNP PARIBAS SECURITIES SERVICES MILAN;;;;;;;;;;;;;;;;;;;;;;;;350000;8.493;1;2972550;3493638.02;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB923227USDLU;US2310211063;000923227000;CMI UN Equity;13790;CUMMINS;eer;share;ord_sh;sfi_atyp_202;;1;CUMMINS;USD;US;U.S.A.;48;MACHINERY & APPARELS;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;13200;259.11;1;3420252;3420252;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM0040HSEURLU;DE000A1EWWW0;011730015000;ADS GY Equity;13160;ADIDAS AG;eer;share;ord_sh;sfi_atyp_202;;1;ADIDAS NOM.;EUR;DE;GERMANY;68;TEXTILE & CLOTHING;;ETR;XETR;;;;0OD;;;;;;;;;;;;;;;;;;;;;;;;;5200;266.2;1;1384240;1626897.27;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB099350USDLU;US5184391044;000099350000;EL UN Equity;4404;ESTEE LAUDER COMPANIES INC;eer;share;ord_sh;sfi_atyp_202;;1;ESTEE LAUDER COMPANIES 'A';USD;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;9000;290.85;1;2617650;2617650;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM008D10GBPLU;GB00BVYVFW23;027293490000;AUTO LN Equity;180604;AUTO TRADER GR;eer;share;ord_sh;sfi_atyp_202;;1;AUTO TRADER GROUP;GBP;GB;UNITED KINGDOM;96;MISCELLANEOUS SERVICES;;RMC-P;;;;;OUR;;;;;;;;;;;;;;;;;;;;;;;;;300000;5.544;1;1663200;2294717.04;1.3797;.850846;31/03/2021;N;0;0;0;31/03/2021
