ID_MAN_CO;ISIN_CODE;FUND_NUMBER;FUND_NAME;FUND_CCY;SHARECLASS_CODE;SHARECLASS_NAME;SHARECLASS_CCY;SUBRED_TYPE;SUBRED_SHARES_OUTSTANDING;SUBRED_DATE;SUBRED_AMOUNT_SHARE_CLASS_CCY;SUBRED_AMOUNT_CPT_CCY;SUBRED_AMOUNT_EUR_FIN_PERIODE;FX_RATE_EUR_FIN_PERIODE;FX_RATE_DATE;Reporting Period
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;11.83;30/03/2021;1489.63;1750.76278;1489.63;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;48.11;29/03/2021;6084.47;7151.080209;6084.47;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;302.48;26/03/2021;37631.54;44228.365156;37631.54;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;79.71;24/03/2021;9990.05;11741.310064;9990.05;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;79.18;23/03/2021;9990.14;11741.415841;9990.14;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;68.92;22/03/2021;8639.81;10154.372411;8639.81;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;100;19/03/2021;12560;14761.773405;12560;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;102.88;18/03/2021;12989.63;15266.717729;12989.63;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;205.44;17/03/2021;25990.21;30546.304997;25990.21;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;154;11/03/2021;19220.74;22590.143993;19220.74;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;39.99;03/03/2021;4989.55;5864.220262;4989.55;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;40.54;01/03/2021;4989.66;5864.349545;4989.66;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;REDEMPTION;300;25/02/2021;37740;44355.83824;37740;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;REDEMPTION;94;24/02/2021;11830.84;13904.791343;11830.84;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;39.51;23/02/2021;4990.11;5864.87843;4990.11;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;39.08;22/02/2021;4990.52;5865.360304;4990.52;1;31/03/2021;31/03/2021
343;LU1787059465;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;A1E;A1 EUR H P;EUR;SUBSCRIPTION;39.08;19/02/2021;4987.39;5861.681613;4987.39;1;31/03/2021;31/03/2021
