ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ISIN;SECURITY_NAME;TYPE_INSTR;INSTRUMENT_CCY;INSTRUMENT_PRICE;INSTRUMENT_PRICE_EUR;PRICE_DATE;FX_RATE;TRANSACTION_TYPE;EXECUTION_DATE;TRANSACTION_CCY;QUANTITY;AMOUNT_TRANSACTION_CCY;AMOUNT_FUND_CCY;AMOUNT_TRANSACTION_EUR;FX_RATE_EUR;FX_RATE_DATE;MATURITY_DATE;MIC_CODE;TRANSACTION_PRICE;UNREALIZED_PNL;CANCEL_ANULATION;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US03662Q1058;ANSYS;share;USD;325.99498;277.371525;03/03/2021;1;Sale on stock market ~;03/03/2021;USD;2500;814987.46;814987.46;693428.820391;.850846;31/03/2021;;;325.99498;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US03662Q1058;ANSYS;share;USD;367.64298;312.807559;15/01/2021;1;Purchase on stock market ~;15/01/2021;USD;499.999995;183821.49;183821.49;156403.779481;.850846;31/03/2021;;;367.64298;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;DE000A1EWWW0;ADIDAS NOM.;share;EUR;264.2626;264.2626;30/03/2021;.852697;Sale on stock market ~;30/03/2021;EUR;2000;528525.2;619827.93;528525.2;1;31/03/2021;;;264.2626;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US50540R4092;LABORATORY CORP AMERICA HOLDINGS;share;USD;221.25561;188.254451;14/01/2021;1;Purchase on stock market ~;14/01/2021;USD;1000;221255.61;221255.61;188254.450746;.850846;31/03/2021;;;221.25561;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;GB00B1CRLC47;MONDI (GBP);share;GBP;18.216949;21.385113;03/03/2021;.715563;Purchase on stock market ~;03/03/2021;GBP;10000;182169.49;254581.86;213851.132514;1.173913;31/03/2021;;;18.216949;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;NL0000009827;KONINKLIJKE DSM;share;EUR;138.735667;138.735667;03/03/2021;.828192;Sale on stock market ~;03/03/2021;EUR;6000;832414;1005098.28;832414;1;31/03/2021;;;138.735667;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;NL0000009827;KONINKLIJKE DSM;share;EUR;148.266425;148.266425;26/01/2021;.821929;Sale on stock market ~;26/01/2021;EUR;2000.00002;296532.85;360776.69;296532.85;1;31/03/2021;;;148.266425;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;NL0010583399;CORBION;share;EUR;47;47;07/01/2021;.815694;Sale on stock market ~;07/01/2021;EUR;4775;224425;275133.83;224425;1;31/03/2021;;;47;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US46625H1005;JPMORGAN CHASE;share;USD;144.337667;122.809127;16/02/2021;1;Purchase on stock market ~;16/02/2021;USD;1500;216506.51;216506.51;184213.698007;.850846;31/03/2021;;;144.337667;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US68902V1070;OTIS WORLDWIDE;share;USD;64.551;54.92296;25/02/2021;1;Purchase on stock market ~;25/02/2021;USD;4000;258204;258204;219691.840584;.850846;31/03/2021;;;64.551;;20;N;31/03/2021
